pitch_type,pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,Sinker,2021-09-28,93,-1.7,5.09,"Marte, Ketel",606466,657277,strikeout,called_strike,,,,,7,Ketel Marte called out on strikes.,R,L,R,SF,ARI,S,2,,2,2,2021,-1.62,-0.37,-0.35,1.67,,,,2,3,Top,,,,,457763,,,7.052441021363860,-135.26609305267100,-2.1717619655571900,-21.427838916976400,31.097106652011400,-36.364206259856700,3.59,1.65,,,,93.3,1941,6.6,632307,657277,457763,664774,600303,446334,543063,592178,621453,573262,53.9,,,0,1,0,0,,21,5,1,1,1,1,1,1,1,1,Infield shift,Standard,247,0.011,-0.091
SL,Slider,2021-09-28,84,-1.94,4.97,"Marte, Ketel",606466,657277,strikeout,swinging_strike,,,,,14,Ketel Marte strikes out swinging.,R,L,R,SF,ARI,S,2,,2,2,2021,1.06,0.01,0.82,0.98,,,,1,1,Top,,,,,457763,,,4.32723911508655,-122.37130822067000,-2.9377451602800000,9.919178535989340,22.68778697670250,-31.699455145186800,3.41,1.56,,,,84.9,2610,6.7,632307,657277,457763,664774,600303,446334,543063,592178,621453,573262,53.8,,,0,1,0,0,,2,6,0,0,0,0,0,0,0,0,Infield shift,Standard,53,0.015,-0.142
FF,4-Seam Fastball,2021-09-28,82.5,-3.99,1.28,"Marte, Ketel",606466,643511,walk,ball,,,,,11,Ketel Marte walks.,R,L,R,SF,ARI,B,,,3,1,2021,0.16,-1.33,-1.19,2.66,,668942,,0,8,Top,,,,,457763,,,5.969692786607150,-119.10227650017000,12.272660750233800,0.23012045643882500,25.986179458752700,-47.725999038242700,3.43,1.61,,,,81,1893,6,632307,643511,457763,527038,642731,446334,543063,592178,621453,596103,54.49,,,0.7,1,0,0,,67,5,6,2,2,6,2,6,2,6,Standard,Standard,339,-0.037,0.254
FF,4-Seam Fastball,2021-09-26,93.4,1.41,6.19,"Marte, Ketel",606466,628711,force_out,hit_into_play,,,,,4,"Ketel Marte grounds into a force out, third baseman Chris Taylor to second baseman Trea Turner.   Caleb Smith out at 2nd.",R,R,L,ARI,LAD,X,5,ground_ball,2,2,2021,0.21,1.53,-0.41,2.64,,,592761,2,4,Bot,91.41,154.54,,,605131,,,-5.084261822541770,-135.74740491725500,-6.653425540502920,3.726541254139380,30.931547914489800,-11.964737163222600,3.41,1.56,55,104.3,1,92.2,2480,5.8,632337,628711,605131,571970,607208,621035,608369,572041,666158,605141,54.74,0.429,0.395,0,1,0,0,4,38,6,0,3,0,3,3,0,0,3,Standard,Strategic,160,-0.023,-0.192
CU,Curveball,2021-09-26,77.1,1.53,6.29,"Marte, Ketel",606466,628711,field_out,hit_into_play,,,,,7,Ketel Marte flies out sharply to left fielder AJ Pollock.,R,R,L,ARI,LAD,X,7,fly_ball,0,0,2021,-1.15,-0.44,-0.35,2.03,,,,0,3,Bot,42.95,78.65,,,605131,,,-1.8803248945852500,-112.22433719486100,-1.1951524293571000,-9.186818702477400,23.449074580726100,-35.84649930423270,3.41,1.56,358,100.5,41,75.8,2709,5.7,632337,628711,605131,571970,607208,621035,608369,572041,666158,605141,54.8,0.123,0.199,0,1,0,0,3,25,1,0,3,0,3,3,0,0,3,Standard,Standard,308,-0.023,-0.241
FC,Cutter,2021-09-26,92.6,-1.34,6.47,"Marte, Ketel",606466,445276,field_out,hit_into_play,,,,,9,Ketel Marte grounds out to first baseman Max Muncy.,R,L,R,ARI,LAD,X,3,ground_ball,0,1,2021,0.91,1.15,0.78,1.7,668942,,,2,9,Bot,156.42,167,,,605131,,,3.473646805223710,-134.5519471354120,-8.972931593704590,10.211682556110300,31.012646378873900,-16.404174335731000,3.41,1.56,67,91.8,3,93.8,2745,7.2,632337,445276,605131,571970,607208,457759,608369,621035,666158,605141,53.31,0.409,0.369,0,1,0,0,4,77,2,0,3,0,3,3,0,0,3,Infield shift,Standard,159,-0.015,-0.329
KC,Knuckle Curve,2021-09-26,85.7,-1.69,5.78,"Marte, Ketel",606466,523260,field_out,hit_into_play,,,,,2,"Ketel Marte grounds out, shortstop Corey Seager to first baseman Max Muncy.",R,L,R,ARI,LAD,X,6,ground_ball,1,0,2021,0.6,-0.65,-0.14,3.09,,,,0,7,Bot,118.44,140.66,,,605131,,,2.4394904913476600,-124.84407678170600,1.1959690204888100,5.8105395535282800,25.636313216771700,-39.45477532477430,3.41,1.56,9,88.4,-18,84.9,2816,5.8,632337,523260,605131,571970,607208,621035,608369,572041,666158,605141,54.74,0.117,0.111,0,1,0,0,2,58,2,0,3,0,3,3,0,0,3,Standard,Standard,43,-0.027,-0.279
CU,Curveball,2021-09-26,77,1.7,6.3,"Marte, Ketel",606466,628711,field_out,hit_into_play,,,,,8,Ketel Marte pops out to second baseman Trea Turner.,R,R,L,ARI,LAD,X,4,popup,0,1,2021,-1.46,0.1,-0.01,2.06,,,,0,1,Bot,126.36,122.46,,,605131,,,-0.9658705457834210,-112.0826025262040,-2.11515635113595,-12.0177200609661,22.670185658037000,-31.164346874652,3.41,1.56,193,90.4,59,75.5,2650,5.4,632337,628711,605131,571970,607208,621035,608369,572041,666158,605141,55.05,0.011,0.011,0,1,0,0,3,7,2,0,2,0,2,2,0,0,2,Standard,Standard,312,-0.022,-0.203
CU,Curveball,2021-09-25,74.6,1.01,6.29,"Marte, Ketel",606466,477132,single,hit_into_play,,,,,14,Ketel Marte singles on a line drive to center fielder Gavin Lux.   Zac Gallen to 2nd.,R,R,L,ARI,LAD,X,8,line_drive,1,2,2021,-0.35,-1.53,0.36,1.28,,,668678,0,5,Bot,121.95,95.51,,,669257,,,-0.7152257000792020,-108.50266297847200,-0.1729413145898200,-2.527199157667910,24.685642034614400,-44.21302686174800,3.41,1.56,209,87.9,12,73.9,2668,6.5,632353,477132,669257,571970,607208,457759,608369,621035,666158,605141,53.99,0.791,0.749,0.9,1,1,0,4,38,5,3,0,3,0,0,3,3,0,Infield shift,Standard,336,0.018,0.815
SL,Slider,2021-09-25,83.7,-3.22,5.43,"Marte, Ketel",606466,623465,field_out,hit_into_play,,,,,8,Ketel Marte lines out to right fielder Mookie Betts.,R,L,R,ARI,LAD,X,9,line_drive,3,2,2021,1.33,0.18,0.13,1.51,,,444482,2,8,Bot,207.18,86.24,,,669257,,,5.093272665212240,-121.7753112276780,-2.9372366827275700,12.137010396951500,25.4631059797827,-30.046656120898100,3.41,1.56,342,91.6,25,83.6,2336,6.4,632353,623465,669257,571970,607208,457759,608369,607461,621035,605141,54.13,0.137,0.171,0,1,0,0,3,66,7,7,1,7,1,1,7,7,1,Infield shift,Standard,61,0,-0.264
