"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2020-09-05","97.5","-1.89","5.95","Marte, Ketel",606466,656322,"strikeout","foul_tip",,,,,5,"Ketel Marte strikes out on a foul tip.","R","L","R","SF","ARI","S",2,,3,2,2020,"-0.84","1.19","-0.28","2.85",,,,2,5,"Top",,,,,663698,,,6.270206937503556,-141.94102314639014,-5.610469722841163,-12.79073501293612,29.858922988861476,-15.011786172032824,"3.64","1.73",,,,"97.9",1356,"6.3",631004,656322,663698,474832,527038,446334,621002,573131,643289,573262,"54.18",,,"0",1,0,0,,37,6,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Infield shift","Standard",274,"0.014","-0.135"
"KC","2020-09-05","79.2","-1.98","6.49","Marte, Ketel",606466,502239,"field_out","hit_into_play",,,,,7,"Ketel Marte grounds out, first baseman Brandon Belt to pitcher Trevor Cahill.   Kole Calhoun to 3rd.","R","L","R","SF","ARI","X",3,"ground_ball",3,2,2020,"0.91","-0.96","-0.44","1.67",,594777,,0,1,"Top",139.7,182.93,,,663698,,,1.6491034051298186,-115.44830186813698,-1.9725209445364786,7.841203737405742,21.325409468164256,-40.64065714388753,"3.64","1.73",7,"61.4",-12,"78.9",3051,"5.9",631004,502239,663698,474832,527038,446334,621002,573131,643289,573262,"54.55",0.107,0.108,"0",1,0,0,2,2,6,"Knuckle Curve",0,0,0,0,0,0,0,0,"Strategic","Standard",24,"0.011","-0.312"
"SI","2020-09-05","82.9","-3.86","1.25","Marte, Ketel",606466,643511,"force_out","hit_into_play",,,,,7,"Ketel Marte grounds into a force out, shortstop Daniel Robertson to second baseman Donovan Solano.   Kole Calhoun out at 2nd.    Ketel Marte to 1st.","R","L","R","SF","ARI","X",6,"ground_ball",1,0,2020,"-0.76","-0.73","-0.37","2.1",,,594777,0,8,"Top",116.67,141.15,,,663698,,,9.34241045354591,-119.87057186165032,9.801942585428478,-9.024659549747838,21.6207411149154,-41.39036545446951,"3.64","1.73",47,"107.8",-1,"82.1",1854,"6",631004,643511,663698,474832,456781,446334,621002,543105,643289,573262,"54.53",0.44,0.396,"0",1,0,0,4,61,2,"Sinker",4,2,2,4,2,4,2,4,"Standard","Standard",332,"0.058","-0.587"
"CH","2020-09-04","81.7","1.89","6.17","Marte, Ketel",606466,542881,"field_out","hit_into_play",,,,,14,"Ketel Marte grounds out, shortstop Brandon Crawford to first baseman Brandon Belt.","R","R","L","SF","ARI","X",6,"ground_ball",3,2,2020,"1.21","0.69","0.9","2.02",,,662139,2,4,"Top",95.55,138.43,,,663698,,,-4.514946547964443,-118.96853248320045,-4.1863843146721855,12.315661831393065,20.320077153667565,-25.015662605658207,"3.64","1.73",4,"97",-25,"81.7",1880,"6",631003,542881,663698,474832,456781,446334,543063,543105,643289,573262,"54.49",0.1,0.091,"0",1,0,0,2,36,6,"Changeup",2,4,4,2,4,2,4,2,"Standard","Standard",140,"0.019","-0.278"
"CU","2020-09-04","74.3","1.75","6.33","Marte, Ketel",606466,542881,"double","hit_into_play",,,,,5,"Ketel Marte doubles (12) on a sharp ground ball to left fielder Alex Dickerson, deflected by third baseman Evan Longoria.   Daulton Varsho scores.","R","R","L","SF","ARI","X",5,"ground_ball",0,0,2020,"-0.39","-1.03","0.13","2.8",,662139,,1,3,"Top",69.63,149.89,,,663698,,,-2.6059718809582977,-108.24842949938262,1.7196656424829992,-2.6820487847140755,17.739301790483164,-40.80769661049829,"3.64","1.73",101,"109.4",3,"73.9",2425,"5.8",631003,542881,663698,474832,456781,446334,543063,543105,643289,573262,"54.69",0.567,0.511,"1.25",1,1,1,4,21,1,"Curveball",1,1,1,1,2,1,2,1,"Standard","Standard",332,"-0.114","0.995"
"SI","2020-09-04","93.2","1.69","6.21","Marte, Ketel",606466,605498,"double","hit_into_play",,,,,6,"Ketel Marte doubles (13) on a sharp line drive to right fielder Mike Yastrzemski.","R","R","L","SF","ARI","X",9,"line_drive",1,0,2020,"1.1","1.28","0.46","2.53",,,,2,6,"Top",197.98,64.43,,,663698,,,-5.520059132187194,-135.53724577375792,-6.424845517369291,14.813306126945363,28.793777872715417,-15.219610813071402,"3.64","1.73",359,"106.6",18,"92.2",1881,"5.6",631003,605498,663698,474832,456781,446334,543063,543105,643289,573262,"54.86",0.68,0.899,"1.25",1,1,1,6,55,2,"Sinker",4,6,6,4,6,4,6,4,"Strategic","Standard",138,"-0.019","0.202"
"CH","2020-09-04","86.9","1.48","5.63","Marte, Ketel",606466,593974,"single","hit_into_play",,,,,14,"Ketel Marte singles on a ground ball to third baseman Evan Longoria.","R","R","L","SF","ARI","X",5,"ground_ball",1,2,2020,"1.6","0.55","1.36","1.41",,,,1,9,"Top",104.05,171.17,,,644433,,,-3.5236739607226797,-126.41687098379157,-4.9379654151814485,17.85282644085132,27.92625889950012,-25.45465809065766,"3.64","1.73",2,"85.2",-35,"85.6",2362,"5.6",631003,593974,644433,474832,456781,446334,543063,543105,643289,573262,"54.86",0.067,0.075,"0.9",1,1,0,2,77,4,"Changeup",5,6,6,5,6,5,6,5,"Strategic","Standard",124,"-0.017","0.316"
"FF","2020-09-04","92.5","1.66","6.44","Marte, Ketel",606466,542881,"home_run","hit_into_play",,,,,4,"Ketel Marte homers (2) on a fly ball to left center field.","R","R","L","SF","ARI","X",,"fly_ball",0,1,2020,"0.65","1.54","-0.6","2.92",,,,1,1,"Top",42.37,58.3,,,663698,,,-7.107425321599351,-134.4490253464609,-6.489990135469214,9.358880667606227,27.95021688830999,-12.240538850094053,"3.64","1.73",385,"100.9",25,"92",2426,"6",631003,542881,663698,474832,456781,446334,543063,543105,643289,573262,"54.54",0.647,1.056,"2",1,0,3,6,2,2,"4-Seam Fastball",0,0,0,0,1,0,1,0,"Standard","Standard",144,"-0.103","1.026"
"FF","2020-09-02","97.9","-0.92","5.7","Marte, Ketel",606466,621111,"walk","ball",,,,,14,"Ketel Marte walks.","R","L","R","LAD","ARI","B",,,3,0,2020,"-0.49","1.59","0.23","1.17",,,,2,3,"Top",,,,,669257,,,4.236932603055249,-142.3158810659309,-10.414455899642919,-7.608474452718413,31.37354741279135,-8.388586663487455,"3.52","1.73",,,,"98",2693,"6.3",631356,621111,669257,571970,666158,621458,608369,621035,572041,605141,"54.17",,,"0.7",1,0,0,,19,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",206,"-0.015","0.052"
"SI","2020-09-02","98.3","-1.22","5.56","Marte, Ketel",606466,621111,"field_out","hit_into_play",,,,,13,"Ketel Marte grounds out, second baseman Gavin Lux to first baseman Max Muncy.","R","L","R","LAD","ARI","X",4,"ground_ball",1,1,2020,"-1.24","1.2","-0.41","1.29",,,,1,1,"Top",146.16,143.42,,,669257,,,5.018117981853055,-142.87547494338665,-8.845464027167543,-18.115373306922002,32.64215928842333,-13.89575408957844,"3.64","1.73",6,"97.1",-11,"97.8",2588,"6.1",631356,621111,669257,571970,666158,621458,608369,621035,572041,605141,"54.44",0.213,0.194,"0",1,0,0,2,2,3,"Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard",213,"0.015","-0.162"
"FF","2020-09-02","94.8","2.37","5.84","Marte, Ketel",606466,657571,"field_out","hit_into_play",,,,,6,"Ketel Marte flies out to center fielder AJ Pollock.","R","R","L","LAD","ARI","X",8,"fly_ball",2,2,2020,"0.96","1.34","0.46","2.8",,,,0,6,"Top",166.86,44.02,,,669257,,,-7.122265150023656,-137.8512140061474,-5.297454590158308,13.771656724043508,29.64235213238433,-14.076049769203415,"3.64","1.73",,,,"94.8",2248,"6.2",631356,657571,669257,571970,666158,621458,608369,621035,572041,605141,"54.26",,,"0",,0,0,,37,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",131,"0.033","-0.216"
"SI","2020-09-02","99.6","-1.58","6.25","Marte, Ketel",606466,660813,"field_out","hit_into_play",,,,,11,"Ketel Marte lines out to left fielder Chris Taylor.","R","L","R","LAD","ARI","X",7,"line_drive",0,1,2020,"-1.24","0.56","-0.91","2.82",,,,0,8,"Top",44.36,104.29,,,669257,,,4.678238024550382,-144.92323586472378,-5.298029388153793,-18.624680394849637,33.287069559704676,-23.20058808767415,"3.64","1.73",295,"91.6",20,"98.3",2047,"5.5",631356,660813,669257,571970,666158,621458,608369,621035,572041,605141,"55",0.353,0.358,"0",1,0,0,4,52,2,"Sinker",0,1,1,0,1,0,1,0,"Strategic","Standard",216,"0.022","-0.209"
"FF","2020-09-01","94.6","1.5","6.02","Marte, Ketel",606466,628711,"field_out","hit_into_play",,,,,5,"Ketel Marte grounds out sharply, first baseman Max Muncy to pitcher Julio Urias.","R","R","L","LAD","ARI","X",3,"ground_ball",2,2,2020,"0.53","1.46","0.09","2.29",,,,0,6,"Top",166.46,147.01,,,669257,,,-4.8170117676335895,-137.61407973571002,-7.23298313528306,7.856782118302096,30.43203864836079,-12.14758175538927,"3.41","1.56",6,"104.8",-19,"93.6",2495,"5.7",631355,628711,669257,571970,666158,621458,608369,571771,621035,605141,"54.79",0.173,0.165,"0",1,0,0,2,47,7,"4-Seam Fastball",4,1,1,4,1,4,1,4,"Standard","Standard",150,"0.023","-0.216"
