LAST_NAME,ROSTER_FIRST_NAME,BAM_ID
Hill,Richard,448179
Nelson,Jimmy,519076
Givens,Mychal,571710
Altuve,Jose,514888
Peterson,Jace,607054
Mazza,Chris,607391
Estevez,Carlos,608032
Correa,Carlos,621043
Guzman,Ronald,608597
Mathisen,Wyatt,621500
Meadows,Austin,640457
Crismatt,Nabil,622503
Tellez,Rowdy,642133
Adams,Austin,613534
Fletcher,David,664058
Webb,Logan,657277
India,Jonathan,663697
Murphy,Sean,669221
Brosseau,Michael,670712
Heath,Nick,670084
Paddack,Chris,663978
Patino,Luis,672715
Heuer,Codi,676051
Perdomo,Geraldo,672695
Vaughn,Andrew,683734
Pujols,Albert,405395
Santana,Ervin,429722
Ottavino,Adam,493603
Bruce,Jay,457803
Kershaw,Clayton,477132
Alvarez,Jose,501625
Pham,Tommy,502054
Gonzalez,Marwin,503556
Pineda,Michael,501381
Alexander,Scott,518397
Head,Louis,545343
Crawford,Brandon,543063
Northcraft,Aaron,573062
Ruiz,Rio,547004
Sanchez,Aaron,592717
Evans,Phillip,595943
La Stella,Tommy,600303
Gallo,Joey,608336
Musgrove,Joe,605397
Anderson,Tim,641313
Garver,Mitchell,641598
Littell,Zack,641793
Devers,Rafael,646240
Arroyo,Christian,624414
Verdugo,Alex,657077
Waddell,Brandon,663399
Fulmer,Carson,608334
Thompson,Ryan,657044
Laureano,Ramon,657656
Burnes,Corbin,669203
Varsho,Daulton,662139
De Geus,Brett,676969
Narvaez,Omar,553882
Flores,Wilmer,527038
Diaz,Elias,553869
Hernandez,Enrique,571771
Watson,Tony,453265
LeBlanc,Wade,453281
DeSclafani,Anthony,543101
Culberson,Charlie,518586
Luetge,Lucas,476595
Plutko,Adam,592644
Gallagher,Cameron,595956
Crick,Kyle,605195
Underwood Jr.,Duane,621249
Kelly,Carson,608348
Caratini,Victor,605170
Moncada,Yoan,660162
Daza,Yonathan,602074
Severino,Pedro,600474
Kinley,Tyler,641755
Reed,Cody,642003
Odom,Joe,641929
Pagan,Emilio,641941
Dubon,Mauricio,643289
Green,Chad,643338
