"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
471,446321,"Detwiler, Ross",471,100,0.287,0.204,0.342,0.491,0.364,0.355,0.28,31,108,89.9,13.4,2135,88.8,86.6,52,226,245,-2.200000000000003,5.54,114,151,118,147,287,317,289
471,664337,"Yajure, Miguel",471,100,0.307,0.188,0.341,0.495,0.394,0.414,0.326,31,101,92.2,15.5,2228,88,87.5,51,216,255,-0.5,6.07,104,150,116,148,302,323,299
469,656818,"Overton, Connor",469,100,0.188,0.054,0.204,0.241,0.229,0.288,0.235,21,112,90.2,16.2,2170,86.6,86.3,34,209,260,-0.29999999999999716,6.13,118,157,122,147,292,319,292
466,594311,"Gustave, Jandel",466,100,0.236,0.123,0.276,0.358,0.302,0.31,0.228,25,106,90.8,10.8,2386,92.4,91.6,37,215,251,-0.8000000000000114,5.83,109,151,119,145,295,316,294
466,622075,"Almonte, Yency",466,100,0.15,0.083,0.186,0.233,0.215,0.271,0.205,18,120,83.4,11.1,2275,89.7,90.34,72,215,251,0.5999999999999943,6.64,109,155,120,149,300,318,294
465,664948,"Misiewicz, Anthony",465,100,0.248,0.174,0.291,0.422,0.312,0.312,0.23,27,109,90.1,16.2,2483,86.9,86.19,53,222,243,-0.7000000000000028,5.81,114,155,121,148,290,321,293
465,543507,"May, Trevor",465,100,0.265,0.167,0.338,0.431,0.331,0.297,0.226,27,102,89.4,19.4,2174,91.2,92.44,63,207,258,1.2000000000000028,7.05,111,154,116,148,297,328,301
463,657272,"Uelmen, Erich",463,100,0.248,0.139,0.275,0.386,0.326,0.312,0.222,25,101,88.2,6.3,2170,89.9,86.23,53,194,269,-3.700000000000003,6.73,109,150,117,152,300,319,291
460,665001,"Kelley, Trevor",460,100,0.26,0.271,0.273,0.531,0.373,0.317,0.217,25,96,84.9,19.6,2295,86.2,86.38,46,200,260,0.20000000000000284,6.65,110,153,122,146,297,316,296
457,607481,"Bummer, Aaron",457,100,0.288,0.087,0.384,0.375,0.328,0.309,0.257,30,104,89.6,-3.7,2203,90.4,90.34,48,175,282,-0.10000000000000853,6.32,106,148,107,144,294,322,295
450,501925,"Smith, Joe",450,100,0.297,0.243,0.295,0.541,0.38,0.351,0.273,33,111,88.7,4.7,2034,82.5,82.68,39,224,226,0.20000000000000284,6.55,107,153,115,147,298,331,290
450,657770,"Stout, Eric",450,100,0.275,0.165,0.359,0.44,0.37,0.323,0.22,25,91,90.6,21.6,2280,85,84.06,49,188,262,-0.9000000000000057,5.8,106,150,118,148,297,321,295
449,660787,"De Los Santos, Yerry",449,100,0.224,0.143,0.275,0.367,0.298,0.333,0.243,22,98,88.1,8.3,2193,90.7,91.28,42,199,250,0.5999999999999943,6.64,108,151,114,148,301,323,298
448,547001,"Poteet, Cody",448,100,0.223,0.194,0.244,0.417,0.313,0.335,0.266,23,103,91.3,6.9,2300,89.6,88.56,67,226,222,-1,5.82,109,155,124,151,297,314,295
446,663989,"Vespi, Nick",446,100,0.284,0.225,0.343,0.51,0.361,0.357,0.286,29,102,87.7,10.1,2395,85.5,84.61,69,218,228,-0.9000000000000057,5.76,108,157,114,149,300,321,294
445,622065,"Young, Alex",445,100,0.282,0.097,0.349,0.379,0.325,0.297,0.249,29,103,88.9,7.3,2038,86,85.48,71,225,220,-0.5,5.88,107,149,114,146,298,323,299
444,669358,"Baz, Shane",444,100,0.252,0.196,0.306,0.449,0.333,0.318,0.248,27,107,91.1,12,2481,90.3,90.68,64,209,235,0.4000000000000057,6.53,108,158,111,149,299,325,299
439,664092,"Poppen, Sean",439,100,0.265,0.225,0.278,0.49,0.342,0.294,0.222,27,102,87.7,15.5,2148,90.4,90.2,30,188,251,-0.20000000000000284,6.25,109,150,120,144,302,322,295
433,676534,"Faucher, Calvin",433,100,0.289,0.156,0.338,0.444,0.357,0.371,0.276,26,90,90.7,12.3,2585,90.7,89.39,44,182,251,-1.2999999999999972,5.61,108,152,112,148,300,323,296
432,670059,"Holderman, Colin",432,100,0.206,0.041,0.267,0.247,0.267,0.295,0.212,20,97,86.6,17.4,2304,91.4,91.6,43,191,241,0.19999999999998863,6.37,110,153,118,148,298,322,298
431,657053,"Toussaint, Touki",431,100,0.176,0.082,0.228,0.259,0.296,0.311,0.204,15,85,86,9,2147,85.5,86.49,52,175,256,1,7.01,111,154,117,151,295,321,292
430,542585,"Cisnero, José",430,100,0.176,0.035,0.242,0.212,0.269,0.307,0.216,15,85,85.7,12.2,2375,92.4,92.27,54,187,243,-0.10000000000000853,6.14,109,156,118,145,300,330,294
429,656686,"Martin, Corbin",429,100,0.291,0.174,0.344,0.465,0.362,0.389,0.3,25,86,91,10.3,2276,90.7,90.41,51,192,237,-0.29999999999999716,6.28,110,153,120,148,306,322,299
