,PITCH,PITCHER,RELSPEED
272,FA,"Baragar, Caleb",93.79238352941177
273,FA,"Barnes, Matt",95.93101357142857
274,FA,"Bassitt, Chris",94.28391333333333
275,FA,"Bauer, Trevor",94.84398225
276,FA,"Bedrosian, Cam",93.0333445
277,FA,"Benjamin, Wes",91.99390341463415
278,FA,"Berrios, Jose",94.00352611111111
279,FA,"Borucki, Ryan",96.1810315625
280,FA,"Bowden, Ben",93.36470777777778
281,FA,"Boxberger, Bradley",93.44066833333333
282,FA,"Brice, Austin",92.69171695652174
283,FA,"Buehler, Walker",95.41002384615385
284,FA,"Bukauskas, J.B.",94.924971
285,FA,"Bumgarner, Madison",91.351126875
286,FA,"Burdi, Zack",95.95017555555555
287,FA,"Burnes, Corbin",96.71373333333334
288,FA,"Bush, Matt",95.1751057142857
289,FA,"Cabrera, Asdrubal",58.55041
290,FA,"Cahill, Trevor",90.57186
291,FA,"Castillo, Diego",96.34279
292,FA,"Cease, Dylan",95.54133291666666
293,FA,"Cessa, Luis",93.7197
294,FA,"Chapman, Aroldis",99.77579125
295,FA,"Cishek, Steven",89.15615
296,FA,"Clarke, Taylor",95.4103090909091
297,FA,"Cody, Kyle",96.34506
298,FA,"Cole, Gerrit",97.31393205128205
299,FA,"Colome, Alexander",94.5406390909091
300,FA,"Crichton, Stefan",91.84101333333332
301,FA,"Crismatt, Nabil",87.33335600000001
302,FA,"Crochet, Garrett",94.9530788888889
303,FA,"Cronenworth, Jake",88.28179750000001
304,FA,"Darvish, Yu",94.47074625
305,FA,"Davis, Wade",91.84785636363637
306,FA,"De Geus, Brett",94.53755
307,FA,"De Leon, Jose",93.43337837209303
308,FA,"DeSclafani, Anthony",94.31364185185186
309,FA,"Devenski, Christopher",92.277259
310,FA,"Diekman, Jacob",94.939847
311,FA,"Dolis, Rafael",94.20335588235294
312,FA,"Doolittle, Sean",93.42716583333333
313,FA,"Doval, Camilo",99.44845333333335
314,FA,"Duffey, Tyler",93.33655090909092
315,FA,"Dunning, Dane",88.143614
316,FA,"Eovaldi, Nathan",97.50483595890411
317,FA,"Estevez, Carlos",96.11232666666666
318,FA,"Fairbanks, Peter",98.11768
319,FA,"Flexen, Christopher",92.70989263157895
320,FA,"Foltynewicz, Mike",94.79627654867257
321,FA,"Foster, Matt",93.4086975
322,FA,"Fry, Paul",94.08331
323,FA,"Fulmer, Carson",93.55163777777778
324,FA,"Gallen, Zac",94.18158827586207
325,FA,"Garcia, Jarlin",93.8657
326,FA,"Garrett, Amir",95.42102
327,FA,"Gausman, Kevin",95.27679608695652
328,FA,"Gibson, Kyle",93.03780499999999
329,FA,"Gilbreath, Lucas",94.90816333333333
330,FA,"Ginkel, Kevin",95.26357
331,FA,"Giolito, Lucas",93.37424172413793
332,FA,"Givens, Mychal",93.90462
333,FA,"Glasnow, Tyler",97.42213651785714
334,FA,"Gomber, Austin",92.19384777777778
335,FA,"Gonzales, Marco",88.67760916666667
336,FA,"Gonzalez, Victor",93.5194975
337,FA,"Gray, Jonathan",94.56978395833333
338,FA,"Green, Chad",95.02702541666667
339,FA,"Guerra, Junior",93.38203250000001
340,FA,"Happ, J A",89.847642
341,FA,"Head, Louis",94.24290043478261
342,FA,"Hearn, Taylor",96.09105088235295
343,FA,"Hendriks, Liam",96.73758857142856
344,FA,"Hernandez, Darwinzon",95.1643756
345,FA,"Heuer, Codi",96.13181052631579
346,FA,"Hill, Richard",89.30121462962963
347,FA,"Hill, Tim",91.6140825
348,FA,"Honeywell Jr, Brent",94.857285
349,FA,"Houck, Tanner",94.763294
350,FA,"Iglesias, Raisel",97.6508757142857
351,FA,"Jansen, Kenley",94.51588666666667
352,FA,"Johnson, Pierce",96.100205
353,FA,"Kela, Keone",95.24158432432432
354,FA,"Kelly, Merrill",92.19379589743589
355,FA,"Kennedy, Ian",94.01504999999999
356,FA,"Kershaw, Clayton",91.54748707317073
357,FA,"Kikuchi, Yusei",94.441041
358,FA,"King, John",92.499622
359,FA,"Kinley, Tyler",94.87102499999999
360,FA,"Kittredge, Andrew",94.3333988888889
361,FA,"Kluber, Corey",90.2951875
362,FA,"Knebel, Corey",96.68196571428572
363,FA,"Kopech, Michael",95.87700884615384
364,FA,"Kremer, Dean",92.8068544117647
365,FA,"LeBlanc, Wade",87.47262
366,FA,"Littell, Zack",95.039897
367,FA,"Lopez, Jorge",95.88369809523809
368,FA,"Lopez, Yoan",96.19267375
369,FA,"Luetge, Lucas",89.54066833333334
370,FA,"Lyles, Jordan",93.03585789915965
371,FA,"Maeda, Kenta",90.90563857142857
372,FA,"Mahle, Tyler",95.31408346938775
373,FA,"Margevicius, Nicholas",88.93111846153846
374,FA,"Marshall, Evan",92.45716666666668
375,FA,"Martin, Brett",93.30350642857142
376,FA,"Mayers, Mike",93.807844
377,FA,"Mayza, Tim",92.43408500000001
378,FA,"McClanahan, Shane",97.6001944
379,FA,"McCullers, Lance",92.55046
380,FA,"McGee, Jacob",95.03491766666666
381,FA,"McHugh, Collin",90.68899181818182
382,FA,"Melancon, Mark",92.02914
383,FA,"Mendick, Daniel",61.77082
384,FA,"Mercedes, Yermin",87.84226000000001
385,FA,"Middleton, Keynan",95.53838545454546
386,FA,"Milone, Tommy",84.47836970588234
387,FA,"Montero, Rafael",95.25606
388,FA,"Montgomery, Jordan",91.74313888888888
389,FA,"Morejon, Adrian",96.69991379310345
390,FA,"Moronta, Reyes",94.48290333333334
391,FA,"Nelson, Jimmy",94.35063299999999
392,FA,"Nelson, Nick",96.04876833333333
393,FA,"Newsome, Ljay",92.74122479166665
394,FA,"Northcraft, Aaron",88.29998
395,FA,"O'Day, Darren",85.3066375
396,FA,"Ottavino, Adam",93.53179
397,FA,"Paddack, Chris",94.84953348993288
398,FA,"Pagan, Emilio",95.2361548192771
399,FA,"Patino, Luis",95.01014425531915
400,FA,"Peacock, Matt",93.57573260869565
401,FA,"Peralta, Wandy",96.69590454545455
402,FA,"Perez, Cionel",96.87526428571428
403,FA,"Perez, Martin",93.04455392156862
404,FA,"Petit, Yusmeiro",86.66066000000001
405,FA,"Phelps, David",93.76575391304348
406,FA,"Pineda, Michael",90.52308210084034
407,FA,"Pivetta, Nick",94.53514576923077
408,FA,"Plutko, Adam",91.60339964285716
409,FA,"Pomeranz, Drew",94.50453026315789
410,FA,"Price, David",93.322845
411,FA,"Quintana, Jose",91.45220636363636
412,FA,"Ramirez, Nick",89.11830599999999
413,FA,"Rasmussen, Drew",98.03959090909092
414,FA,"Reed, Cody",93.30038
415,FA,"Richards, Garrett",93.78876869565218
416,FA,"Richards, Trevor",92.83895268292683
417,FA,"Roark, Tanner",91.47859142857143
418,FA,"Robles, Hansel",96.26592846153845
419,FA,"Rodriguez, Christopher",93.64729
420,FA,"Rodriguez, Eduardo",91.92092595744681
421,FA,"Rodriguez, Joely",94.17384666666668
422,FA,"Rodriguez, Richard",92.96946750000001
423,FA,"Ruiz, Jose",96.15407444444445
424,FA,"Ryu, Hyun-Jin",89.95566199999999
425,FA,"Sanchez, Aaron",90.50822428571428
426,FA,"Santana, Dennis",97.03501
427,FA,"Santana, Ervin",93.61105566666667
428,FA,"Sawamura, Hirokazu",95.79117309859154
429,FA,"Sborz, Josh",97.02747846153846
